ON,1455656040,Free
OFF-ON,1455656062,Free
ON,1455656281,Free
OFF-ON,1455656340,Free
ON,1455656400,Free
OFF,1455656564,NO-INFO
ON,1455656632,Free
OFF-ON,1455656642,Free
ON,1455656700,Free
OFF,1455656777,NO-INFO
ON,1455656888,Free
OFF,1455657185,NO-INFO
ON-OFF,1455657214,NO-INFO
ON,1455740746,Free
OFF,1455740951,NO-INFO
ON,1455741038,Free
OFF,1455741244,NO-INFO
ON,1455741450,Free
OFF-ON,1455741526,Free
ON,1455741586,Free
ON,1455823863,Free
OFF,1455823884,NO-INFO
ON,1455823938,Free
OFF-ON,1455824110,Free
ON,1455824125,Free
OFF,1455824394,NO-INFO
ON,1455824464,Free
OFF-ON,1455824645,Free
ON,1455824707,Free
OFF-ON,1455824771,Free
ON,1455824803,Free
ON,1456259160,Free
OFF,1456259203,NO-INFO
ON,1456259247,Free
OFF-ON,1456259287,Free
ON,1456259402,Free
OFF,1456259688,NO-INFO
ON,1456259762,Free
OFF-ON,1456259882,Free
ON,1456260008,Free
OFF-ON,1456260009,Free
ON,1456260150,Free
OFF-ON,1456260422,Free
ON,1456260480,Free
ON,1456342343,Free
OFF,1456342381,NO-INFO
ON,1456342409,Free
OFF-ON,1456342412,Free
ON,1456342590,Free
OFF-ON,1456342771,Free
ON,1456342814,Free
OFF-ON,1456343005,Free
ON,1456343123,Free
OFF,1456343146,NO-INFO
ON,1456343173,Free
OFF-ON,1456343183,Free
ON,1456343213,Free
OFF-BACK,1456343426,NO-INFO
ON,1456343483,Free
ON,1456429677,Free
OFF,1456429713,NO-INFO
ON,1456429745,Free
OFF,1456429797,NO-INFO
ON,1456430224,Free
OFF-ON,1456430404,Free
ON,1456430523,Free
ON,1456515046,Free
OFF,1456515082,NO-INFO
ON,1456515112,Free
OFF-ON,1456515249,Free
ON-OFF,1456515306,NO-INFO
OFF,1456515520,NO-INFO
ON,1456515534,Free
OFF,1456515745,NO-INFO
ON,1456515834,Free
OFF,1456515888,NO-INFO
ON,1456515919,Free
ON,1456774739,Free
OFF,1456774769,NO-INFO
ON,1456775045,Free
OFF,1456775313,NO-INFO
ON,1456775354,Free
OFF,1456775555,NO-INFO
ON,1456775602,Free
OFF-BACK,1456775619,NO-INFO
ON,1456775626,Free
OFF-ON,1456776046,NO-INFO
ON,1456776074,Free
ON,1456862629,Free
OFF,1456862660,NO-INFO
ON,1456862698,Free
OFF-ON,1456862875,Free
ON,1456862930,Free
OFF,1456863382,NO-INFO
ON,1456863412,Free
OFF-ON,1456863598,Free
ON,1456863654,Free
ON,1456947941,Free
OFF-ON,1456948008,Free
ON,1456948090,Free
OFF-ON,1456948189,Free
ON,1456948239,Free
OFF-ON,1456948368,Free
ON,1456948427,Free
OFF-ON,1456948488,Free
ON,1456948547,Free
OFF,1456948764,NO-INFO
ON,1456948805,Free
ON,1457030016,Free
OFF-ON,1457030059,Free
ON,1457030255,Free
OFF,1457030523,NO-INFO
ON,1457030618,Free
OFF-ON,1457030756,Free
ON,1457030816,Free
OFF-ON,1457030858,Free
ON,1457030921,Free
OFF-ON,1457031038,Free
ON,1457031096,Free
ON,1457375995,Free
OFF,1457376045,NO-INFO
ON,1457376124,Free
OFF-ON,1457376181,Free
ON-OFF,1457376250,NO-INFO
OFF,1457376466,NO-INFO
ON,1457376537,Free
OFF,1457376709,NO-INFO
